item,logprob
aGoRmo,-8.050479
axeRmo,-7.802916
aBoRso,-6.89064
aBoRlo,-7.288172
enlukatjon,-13.59001
enlunatjon,-14.42512
enluGatjon,-14.02408
enluDatjon,-13.92934
enlusatjon,-13.36801
enlulatjon,-14.02842
enlumatjon,-12.90088
enluBatjon,-14.31176
enlutatjon,-13.72548
eNgukatjon,-11.88794
askunaR,-8.667227
asBunaR,-12.14002
asDunaR,-12.02295
askunaR,-8.667227
aslunaR,-9.77231
assunaR,-13.11748
asfunaR,-8.636487
asmunaR,-9.33928
asBunaR,-12.14002
aflaRjod,-13.62177
aflaljod,-15.67612
aflanjod,-14.97273
aflaDjod,-14.5253
aDReRDaR,-10.82237
aDRaRtaR,-8.668815
afRaRtaR,-8.36567
afReRDaR,-10.06062
akReRDaR,-9.649658
akRaRtaR,-8.355814
aflaRtaR,-8.276548
afleRDaR,-9.614596
aDRense,-7.891836
afRense,-7.130091
akRense,-6.719128
aflense,-7.584173
aplense,-7.034142
aGRense,-6.500879
aklense,-7.876424
atlense,-7.982723
afluRjod,-14.73716
afluljod,-15.99608
anloxatjon,-11.44804
anlokatjon,-10.9873
anlofatjon,-12.67864
anloRatjon,-11.19688
anlonatjon,-11.69409
anloDatjon,-13.34381
anlosatjon,-11.26902
anlosatjon,-11.26902
anlopatjon,-11.97604
admipaDo,-8.679269
admifaDo,-9.240703
aDBipaDo,-11.34074
aDBifaDo,-11.97195
aDsipaDo,-10.97293
aDsifaDo,-11.74763
aDxipaDo,-11.6341
aDxifaDo,-13.00821
asmipaDo,-9.952081
asmifaDo,-10.51352
amiGaDa,-7.112851
amisaDa,-6.86836
amiDaDa,-7.185441
amiRaDa,-7.088655
aminaDa,-6.208352
amimaDa,-8.063864
amilaDa,-7.432245
amitaDa,-6.452922
ameGaDa,-8.072929
amesaDa,-7.229747
akupaR,-5.826748
akusaR,-6.605079
akuGaR,-8.490645
akuRaR,-6.18371
akutaR,-5.976546
akuxaR,-8.577895
akulaR,-5.636133
akuBaR,-6.802496
akuBaR,-6.802496
akumaR,-6.466323
aGojektaDo,-11.84699
