item,logprob
eBelokasjon,-9.6939854
eBelofasjon,-9.966865400000001
eBeloGasjon,-9.848765400000001
eBelopasjon,-9.942895400000001
eBeloDasjon,-11.3210954
eBeloRasjon,-9.3123354
eBelosasjon,-9.6249854
eBeloBasjon,-10.021385400000002
amiBilaR,-7.4948153
amiBiRaR,-8.6105173
amiBisaR,-7.929079300000001
amiBiBaR,-8.293857299999999
amiBikaR,-7.6974963
amiBitaR,-7.9009013
amixilaR,-8.3038943
amixiRaR,-9.1501053
amisaDo,-5.8364063
amiDaDo,-5.9595263
amiRaDo,-6.2783283
amimaDo,-6.7907503
amilaDo,-6.076649300000001
amikaDo,-5.5345503
amitaDo,-5.9162653
amesaDo,-6.2391243
ameDaDo,-6.0441503
ameRaDo,-5.4624913
amisaDa,-6.005107300000001
amiDaDa,-6.1287423
amiRaDa,-6.4486293
amimaDa,-6.9604653
amilaDa,-6.2468333000000005
amikaDa,-5.7035933000000005
amitaDa,-6.0822243
amesaDa,-6.4079783
ameDaDa,-6.2134403
ameRaDa,-5.632605300000001
akuRaR,-5.6766303
akutaR,-5.1112753
akulaR,-4.1730503
akukaR,-5.8615383
aBuRaR,-5.9779633
aBusaR,-5.5259043000000005
aButaR,-5.1407523
aBulaR,-4.632732300000001
aBukaR,-5.9329643
akuRaR,-5.6766303
akoRa,-3.7385973
akoka,-4.0777153
aBoka,-4.0084333
aRoka,-4.5756383000000005
aDoka,-4.0003663000000005
asoRa,-3.9146182999999994
asoka,-4.4568483
apiskaBle,-7.234847300000001
apispaBle,-7.926947300000001
apisGaBle,-8.141419299999999
apismaBle,-8.3302113
apislaBle,-7.9328653000000005
apinsaBle,-7.4603852999999996
apiNgaBle,-7.6760793000000005
apinmaBle,-8.6414723
apinlaBle,-8.926671299999999
apulBaBle,-8.8103403
apiskaxe,-7.559388300000001
apispaxe,-7.6284982999999995
apisGaxe,-8.573211299999999
apismaxe,-7.4454453
apislaxe,-8.1571503
apinsaxe,-7.203037300000001
apiNgaxe,-8.6149703
apinmaxe,-7.8253353
apinlaxe,-9.1526053
apulBaxe,-8.4743073
aBalDaR,-6.8308723
aDalDaR,-7.4793993
