word,word_shape,word_phono,length,frequency_bin,real_wbps,real_mbps,real_wbos,real_mbos,nonword1,nonword1_phono,nonword1_wbps,nonword1_mbps,nonword1_wbos,nonword1_mbos,nonword2,nonword2_phono,nonword2_wbps,nonword2_mbps,nonword2_wbos,nonword2_mbos,nonword3,nonword3_phono,nonword3_wbps,nonword3_mbps,nonword3_wbos,nonword3_mbos
ateísmo,VCVVCCV,ateismo,7,<10,-1.0799845,-1.00008265,-1.020190875,-0.9997546125,ameárzo,ameaRso,-1.07564675,-1.023339275,-1.201182,-1.1114039875,ameárma,ameaRma,-1.06152075,-1.0143224,-1.06612925,-1.0195417375,ameárno,ameaRno,-0.982386875,-1.027685525,-0.986870875,-1.0374693625
atildado,VCVCCVCV,atilDaDo,8,<10,-0.9362181111111112,-0.9425642444444444,-0.9114086666666668,-0.8782974333333333,acarpado,akaRpaDo,-0.9286881111111112,-0.8687625777777779,-0.9505753333333332,-0.8885407666666666,acarjado,akaRxaDo,-0.9599693333333332,-0.9402216888888888,-1.0009883333333334,-0.9605749888888888,acarbado,akaRBaDo,-0.8720676666666667,-0.8857262444444446,-0.9295094444444444,-0.9080574333333332
atinar,VCVCVC,atinaR,6,<10,-0.8564328571428571,-0.8976930285714287,-0.8703325714285715,-0.9047097,alarar,alaRaR,-0.8692184285714285,-0.9834348857142856,-0.8741368571428572,-0.9732918428571428,acarar,akaRaR,-0.8263184285714286,-0.9620667428571428,-0.8514218571428571,-0.9546014142857144,ararar,aRaRaR,-0.9191544285714286,-1.0882844571428572,-0.8742637142857143,-1.0382466999999995
atiplado,VCVCCVCV,atiplaDo,8,<10,-0.8262213333333333,-0.8829060222222221,-0.8298596666666667,-0.8841825444444444,ametrada,ametRaDa,-0.7971017777777778,-0.8087976888888888,-0.8032271111111111,-0.8363546555555555,amedrada,ameDRaDa,-0.9320056666666668,-0.901553577777778,-0.939146888888889,-0.9021926555555556,amegrada,ameGRaDa,-0.988941,-0.980121577777778,-1.0054943333333333,-0.9318542111111112
atisbar,VCVCCVC,atisBaR,7,<10,-1.1619545,-1.093239275,-1.155238125,-1.0569476125,atarfar,ataRfaR,-1.236407375,-1.06342615,-1.233673875,-1.0529717375,atarjar,ataRxaR,-1.073512,-1.11760465,-1.1021295,-1.1198204875,aterfar,ateRfaR,-1.06923675,-1.006113775,-1.056596,-1.0147462375
atisbo,VCVCCV,atisBo,6,<10,-1.2100068571428573,-1.054149742857143,-1.226755,-1.0740151285714286,atarjo,ataRxo,-1.229348428571429,-1.0747374571428572,-1.2604737142857143,-1.0868427,atarfo,ataRfo,-1.242760285714286,-1.1084980285714283,-1.2458105714285714,-1.0887384142857144,aterjo,ateRxo,-1.1272094285714285,-1.0379424571428573,-1.1132611428571428,-1.0608917000000002
atizar,VCVCVC,atisaR,6,<10,-0.8445492857142857,-0.9153144571428572,-0.8204691428571429,-0.8951471285714286,acavar,akaBaR,-0.8524915714285715,-0.9411458857142856,-1.0051564285714287,-0.9997294142857144,acapar,akapaR,-0.8544394285714285,-0.8202134571428571,-0.8789597142857143,-0.8371979857142858,acamar,akamaR,-0.8950822857142857,-0.8738511714285713,-0.9186584285714284,-0.8825322714285715
atlante,VCCVCCV,atlante,7,<10,-0.912329375,-0.8729590249999999,-0.9112735,-0.8766179875000001,afruste,afRuste,-0.880386375,-0.940046525,-0.912675,-0.9252009875,afriste,afRiste,-0.868163625,-0.87514015,-0.901585375,-0.8865651125,afliste,afliste,-0.848258125,-0.878010025,-0.91052125,-0.9343257375
atlético,VCCVCVCV,atletiko,8,10-100,-1.0408333333333333,-0.9521112444444444,-1.041763888888889,-0.9487384333333334,aflítina,aflitina,-1.04069,-0.9168276888888888,-1.0461104444444445,-0.9263979888888888,agrítina,aGRitina,-1.004315222222222,-0.8602125777777778,-0.9894207777777778,-0.8981768777777778,atrítina,atRitina,-0.9690854444444444,-0.8426368000000001,-0.9754337777777778,-0.8621942111111112
atolón,VCVCVC,atolon,6,<10,-1.0421051428571428,-1.0121353142857143,-1.0310334285714289,-0.9678085571428572,acogós,akoGos,-1.0440022857142857,-1.1333151714285716,-0.921807,-1.0892532714285714,acogín,akoxin,-1.0484468571428571,-1.0048700285714285,-1.1179594285714285,-1.0605867,acolál,akolal,-1.1225434285714286,-1.0203036,-1.1429120000000002,-1.039743842857143
